5.000000000000e+06	1.065102653959e+11	-1.991805108785e+08	3.738469335970e+10	5.870031705005e+29
5.052010023411e+06	1.000727423355e+11	-1.091252268708e+08	3.732454848736e+10	5.477173520529e+29
5.104561055329e+06	9.404442198933e+10	-1.214019377424e+08	3.702369334813e+10	5.088331236771e+29
5.157658723328e+06	8.855344843559e+10	-1.242831731503e+08	3.688008137501e+10	4.752272138654e+29
5.211308713519e+06	8.328694249146e+10	-1.297742355375e+08	3.674322364318e+10	4.433907069980e+29
5.265516771159e+06	7.830940244429e+10	-1.350999180477e+08	3.663530819420e+10	4.138402019103e+29
5.320288701269e+06	7.360229515508e+10	-1.408089425315e+08	3.654823333167e+10	3.863235363365e+29
5.375630369253e+06	6.915758628607e+10	-1.467832949051e+08	3.648140438989e+10	3.607274649400e+29
5.431547701526e+06	6.496358569931e+10	-1.530582079662e+08	3.643381189446e+10	3.369213101130e+29
5.488046686153e+06	6.100848126547e+10	-1.596410808049e+08	3.640518352486e+10	3.147856567171e+29
5.545133373482e+06	5.728034053556e+10	-1.665476511678e+08	3.639553931842e+10	2.942076954500e+29
5.602813876801e+06	5.376742882066e+10	-1.737937987876e+08	3.640511814447e+10	2.750817253812e+29
5.661094372985e+06	5.045836824490e+10	-1.813969930812e+08	3.643426775995e+10	2.573087476974e+29
5.719981103165e+06	4.734224373813e+10	-1.893757774144e+08	3.648335537891e+10	2.407961243077e+29
5.779480373388e+06	4.440867163096e+10	-1.977496287343e+08	3.655267859046e+10	2.254572096579e+29
5.839598555298e+06	4.164784080379e+10	-2.065386516423e+08	3.664237510949e+10	2.112109774267e+29
5.900342086819e+06	3.905053382459e+10	-2.157631883203e+08	3.675232970532e+10	1.979816522884e+29
5.961717472840e+06	3.660813192957e+10	-2.254432969987e+08	3.688207924526e+10	1.856983520627e+29
6.023731285914e+06	3.431260636331e+10	-2.355980837672e+08	3.703071893472e+10	1.742947452646e+29
6.086390166962e+06	3.215649739353e+10	-2.462448741292e+08	3.719681530248e+10	1.637087275176e+29
6.149700825985e+06	3.013288165876e+10	-2.573982229644e+08	3.737833414483e+10	1.538821199819e+29
6.213670042780e+06	2.823532809616e+10	-2.690687844494e+08	3.757259407301e+10	1.447603919522e+29
6.278304667668e+06	2.645784283532e+10	-2.812620877480e+08	3.777625790423e+10	1.362924097135e+29
6.343611622228e+06	2.479480400247e+10	-2.939772997210e+08	3.798537379254e+10	1.284302128363e+29
6.409597900035e+06	2.324088853683e+10	-3.072060876498e+08	3.819547478058e+10	1.211288184624e+29
6.476270567413e+06	2.179099466293e+10	-3.209317195231e+08	3.840173875100e+10	1.143460530613e+29
6.543636764190e+06	2.044016528673e+10	-3.351285442824e+08	3.859920104819e+10	1.080424098926e+29
6.611703704462e+06	1.918351876619e+10	-3.497619716572e+08	3.878300118703e+10	1.021809290383e+29
6.680478677365e+06	1.801619370003e+10	-3.647890187348e+08	3.894863610356e+10	9.672709556940e+28
6.749969047860e+06	1.693331322907e+10	-3.801594157845e+08	3.909218852470e+10	9.164875044009e+28
6.820182257514e+06	1.592997190696e+10	-3.958171834996e+08	3.921050213264e+10	8.691600829359e+28
6.891125825304e+06	1.500124498631e+10	-4.117025277069e+08	3.930128477972e+10	8.250117664420e+28
6.962807348420e+06	1.414221679409e+10	-4.277538619581e+08	3.936313423415e+10	7.837867186835e+28
7.035234503074e+06	1.334802252291e+10	-4.439097687577e+08	3.939549386150e+10	7.452492886408e+28
7.108415045332e+06	1.261389672250e+10	-4.601107450933e+08	3.939855520436e+10	7.091830304134e+28
7.182356811933e+06	1.193522204735e+10	-4.763006228854e+08	3.937312663431e+10	6.753896443821e+28
7.257067721137e+06	1.130757312619e+10	-4.924276236131e+08	3.932049291294e+10	6.436878588221e+28
7.332555773569e+06	1.072675202437e+10	-5.084450419687e+08	3.924227412979e+10	6.139122668204e+28
7.408829053076e+06	1.018881386110e+10	-5.243115959454e+08	3.914030233404e+10	5.859121484017e+28
7.485895727595e+06	9.690082237242e+09	-5.399915018320e+08	3.901651728864e+10	5.595503000121e+28
7.563764050023e+06	9.227155447118e+09	-5.554543361445e+08	3.887288439025e+10	5.347018937965e+28
7.642442359106e+06	8.796904908193e+09	-5.706747468465e+08	3.871133352722e+10	5.112533841370e+28
7.721939080330e+06	8.396467507206e+09	-5.856320678168e+08	3.853371624377e+10	4.891014742797e+28
7.802262726820e+06	8.023233526354e+09	-6.003098805409e+08	3.834177796202e+10	4.681521513871e+28
7.883421900258e+06	7.674831635329e+09	-6.146955565574e+08	3.813714198357e+10	4.483197944335e+28
7.965425291799e+06	7.349112184590e+09	-6.287798046850e+08	3.792130230722e+10	4.295263561664e+28
8.048281683003e+06	7.044129770259e+09	-6.425562392044e+08	3.769562277292e+10	4.117006180006e+28
8.131999946777e+06	6.758125793832e+09	-6.560209787924e+08	3.746134050525e+10	3.947775148665e+28
8.216589048324e+06	6.489511527912e+09	-6.691722815062e+08	3.721957216990e+10	3.786975260848e+28
8.302058046101e+06	6.236852025720e+09	-6.820102175541e+08	3.697132184725e+10	3.634061275031e+28
8.388416092795e+06	5.998851079852e+09	-6.945363800855e+08	3.671748973659e+10	3.488533000758e+28
8.475672436294e+06	5.774337333359e+09	-7.067536303928e+08	3.645888087117e+10	3.349930891142e+28
8.563836420689e+06	5.562251578436e+09	-7.186658783860e+08	3.619621473446e+10	3.217832112302e+28
8.652917487262e+06	5.361635217715e+09	-7.302778914574e+08	3.593013252751e+10	3.091847013322e+28
